pid,packet_category,service_type,service_subtype,sid,ssid,stx_tmtc_structure
93,12,21,6,0,41,stx_tmtc_ql_calibration_spectrum
93,12,21,6,0,30,stx_tmtc_ql_light_curves
93,12,21,6,0,31,stx_tmtc_ql_background_monitor
93,12,21,6,0,32,stx_tmtc_ql_spectra
93,12,21,6,0,33,stx_tmtc_ql_variance
93,12,21,6,0,34,stx_tmtc_ql_flare_flag_location
93,12,21,6,0,43,stx_tmtc_ql_flare_list
94,5,3,25,0,4,stx_tmtc_hc_heartbeat
90,4,3,25,0,1,stx_tmtc_hc_regular_mini
90,4,3,25,0,2,stx_tmtc_hc_regular_maxi
91,12,21,6,0,20,stx_tmtc_sd_xray_0
91,12,21,6,0,21,stx_tmtc_sd_xray_1
91,12,21,6,0,22,stx_tmtc_sd_xray_2
91,12,21,6,0,23,stx_tmtc_sd_xray_3
91,12,21,6,0,24,stx_tmtc_sd_spectrogram
91,12,21,6,0,42,stx_tmtc_sd_aspect
91,12,21,6,0,10,stx_tmtc_sd_xray_0
91,12,21,6,0,11,stx_tmtc_sd_xray_1
91,12,21,6,0,12,stx_tmtc_sd_xray_2
91,12,21,6,0,13,stx_tmtc_sd_xray_3
91,12,21,6,0,14,stx_tmtc_sd_spectrogram
91,12,21,6,0,25,stx_tmtc_hc_trace
